kata,ipa,e_count
orgel,orgəl,1
samsu,samsu,0
pencangkok,pəntʃaŋkoʔ,1
cipan,tʃipan,0
gemerincing,gəmərintʃiŋ,2
beribu,bəribu,1
mengatasi,məŋatasi,1
keriau,kəriau,1
akselerasi,aʔselərasi,2
komidi,komidi,0
diterbitkan,ditərbitkan,1
melodrama,melodrama,1
membakarkan,məmbakarkan,1
aposisi,aposisi,0
membedol,məmbədol,2
cerau,tʃərau,1
komplot,komplot,0
sehati,səhati,1
celuk,tʃəluʔ,1
membatasi,məmbatasi,1
inggeris,iŋgəris,1
menyumpahi,məɲumpahi,1
elit,elit,1
dihantui,dihantui,0
penghematan,pəŋhematan,2
dituduhkan,dituduhkan,0
niat,niat,0
kulim,kulim,0
drel,drel,1
diolah,diolah,0
tenggelam,təŋgəlam,2
penjilat,pəndʒilat,1
pembusukan,pəmbusukan,1
kerip,kərip,1
bacul,batʃul,0
pos,pos,0
dibutuhkan,dibutuhkan,0
psikiatri,psikiatri,0
hanya,haɲa,0
terangnya,təraŋɲa,1
menggetap,məŋgətap,2
cari,tʃari,0
mufti,mufti,0
kapar,kapar,0
amblas,amblas,0
awa,awa,0
durno,durno,0
selang,səlaŋ,1
bersalin,bərsalin,1
seratung,səratuŋ,1
artefak,artəfaʔ,1
bersih,bərsih,1
mengangkasa,məŋaŋkasa,1
dimuatkan,dimuatkan,0
berisi,bərisi,1
baal,baʔal,0
tertumbuk,tərtumbuʔ,1
kuas,kuas,0
bernoda,bərnoda,1
pualam,pualam,0
kahang,kahaŋ,0
ros,ros,0
terdekatnya,tərdəkatɲa,2
pelosot,pəlosot,1
acum,atʃum,0
menyusupkan,məɲusupkan,1
mengedub,məŋədub,2
goda,goda,0
gelek,geleʔ,2
menghentikannya,məŋhəntikanɲa,2
sangkur,saŋkur,0
didapati,didapati,0
belalang,bəlalaŋ,1
dalih,dalih,0
blekek,bləkeʔ,2
mejeng,medʒeŋ,2
saudara,saudara,0
pejatian,pədʒatian,1
pengarit,pəŋarit,1
berpelukan,bərpəlukan,2
capai,tʃapai,0
kedatanganku,kədataŋanku,1
pengulun,pəŋulun,1
dwiarti,dwiarti,0
ihwal,ihwal,0
priyayi,prijaji,0
kupang,kupaŋ,0
caca,tʃatʃa,0
likuidasi,likuidasi,0
regresi,regresi,2
merotan,mərotan,1
beleter,bəleter,3
berserabut,bərsərabut,2
gonore,gonore,1
goleng,goleŋ,1
tahir,tahir,0
meski,məski,1
teberau,təbərau,2
memaksudkan,məmaʔsudkan,1
membelek,məmbeleʔ,3
penelanan,pənəlanan,2
tablet,tablet,1
dobol,dobol,0
menindik,mənindiʔ,1
mengkategorikan,məŋkatəgorikan,2
selai,səlai,1
kecamatan,kətʃamatan,1
astronautika,astronautika,0
berpenyakit,bərpəɲakit,2
bahrulhayat,bahrulhajat,0
ketebalan,kətəbalan,2
bumiah,bumiah,0
mencebik,məntʃəbiʔ,2
fosfor,fosfor,0
prasejahtera,prasədʒahtəra,2
kehendak,kəhəndaʔ,2
dicurigai,ditʃurigai,0
kelolaan,kəlolaʔan,1
mengering,məŋəriŋ,2
aritmetika,aritmetika,1
dicuri,ditʃuri,0
cutbrai,tʃutbrai,0
sehidup,səhidup,1
kapan,kapan,0
mejar,medʒar,1
estetis,estetis,2
dinaiki,dinaiki,0
bembar,bembar,1
kepergok,kəpərgoʔ,2
induktif,induʔtif,0
asyura,asjura,0
kecong,ketʃoŋ,1
ujung,udʒuŋ,0
mengeram,məŋəram,2
menghambat,məŋhambat,1
rawat,rawat,0
kebiasaannya,kəbiasaʔanɲa,1
afinitas,afinitas,0
auditorium,auditorium,0
analog,analog,0
tenggiling,təŋgiliŋ,1
telur,təlur,1
mendebah,məndəbah,2
menista,mənista,1
kunci,kuntʃi,0
pekulun,pəkulun,1
beragak,bəragaʔ,1
anafilaksis,anafilaʔsis,0
peputut,pəputut,1
kepuyuk,kəpujuʔ,1
peneliti,pənəliti,2
perdayangan,pərdajaŋan,1
abidin,abidin,0
bercumbu,bərtʃumbu,1
kedutaan,kədutaʔan,1
bolu,bolu,0
menyendat,məɲəndat,2
mengerudungi,məŋəruduŋi,2
senjong,sendʒoŋ,1
menegak,mənəgaʔ,2
pendengar,pəndəŋar,2
sedotan,sədotan,1
pesaka,pəsaka,1
sembar,səmbar,1
pedesaan,pədesaʔan,2
egoistis,egoistis,1
perkembangannya,pərkəmbaŋanɲa,2
dias,dias,0
prosesor,prosesor,1
kucup,kutʃup,0
adagium,adagium,0
akhlak,aʔhlaʔ,0
terkawal,tərkawal,1
kependekan,kəpendekan,3
diterima,ditərima,1
bulbul,bulbul,0
melendut,mələndut,2
jangkar,dʒaŋkar,0
terkelik,tərkəliʔ,2
potensi,potensi,1
daulat,daulat,0
mengunyah,məŋuɲah,1
komik,komiʔ,0
trombosis,trombosis,0
desikan,desikan,1
seng,seŋ,1
baduyut,badujut,0
kuantum,kuantum,0
akupunktur,akupunʔtur,0
dihadang,dihadaŋ,0
fungsionalisasi,fuŋsionalisasi,0
penetap,pənətap,2
membincangkan,məmbintʃaŋkan,1
bata,bata,0
menetar,mənətar,2
suruhan,suruhan,0
limpah,limpah,0
jendela,dʒəndela,2
tigabelas,tigabəlas,1
bangsai,baŋsai,0
pengudusan,pəŋudusan,1
delima,dəlima,1
terkandas,tərkandas,1
persundalan,pərsundalan,1
merana,mərana,1
ambal,ambal,0
les,les,1
rayap,rajap,0
berselera,bərsəlera,3
obar,obar,0
mempersetan,məmpərsetan,3
memurnikan,məmurnikan,1
kesayupan,kəsajupan,1
mengelepur,məŋələpur,3
pemelihara,pəməlihara,2
analgesik,analgesiʔ,1
berserak,bərseraʔ,2
beringus,bəriŋus,1
pertunangan,pərtunaŋan,1
tercipta,tərtʃipta,1
mengundurkan,məŋundurkan,1
bertemankan,bərtəmankan,2
dipan,dipan,0
kertau,kərtau,1
pengusaha,pəŋusaha,1
pengin,peŋin,1
pembaruan,pəmbaruan,1
mengejawantah,məŋedʒawantah,2
sehalus,səhalus,1
teranggar,təraŋgar,1
mencarter,məntʃartər,2
penceluran,pəntʃəluran,2
selera,səlera,2
mengadreskan,məŋadreskan,2
bercelur,bərtʃəlur,2
konstruksi,konstruʔsi,0
andaian,andaian,0
menganeksasi,məŋanəʔsasi,2
terminologi,terminologi,1
diapit,diapit,0
memprioritaskan,məmprioritaskan,1
mengaksep,məŋaʔsep,2
martir,martir,0
kehausan,kəhausan,1
bersahabat,bərsahabat,1
dramaturg,dramaturg,0
keriuk,kəriuʔ,1
menuangkan,mənuaŋkan,1
sukan,sukan,0
bernyala,bərɲala,1
bintak,bintaʔ,0
kemampuan,kəmampuan,1
johar,dʒohar,0
mempertaruhkan,məmpərtaruhkan,2
fiskal,fiskal,0
kebotakan,kəbotakan,1
sengaja,səŋadʒa,1
unggun,uŋgun,0
tablo,tablo,0
sepandri,səpandri,1
cakram,tʃaʔram,0
berpeluh,bərpəluh,2
sampar,sampar,0
semenanjung,səmənandʒuŋ,2
belencong,bəlentʃoŋ,2
mengegol,məŋegol,2
nestapa,nəstapa,1
kemangi,kəmaŋi,1
mencecahkan,məntʃətʃahkan,2
paruh,paruh,0
inap,inap,0
penebuk,pənəbuʔ,2
memikirkan,məmikirkan,1
berkokok,bərkokoʔ,1
bekap,bəkap,1
menyerukan,məɲərukan,2
mengedutkan,məŋədutkan,2
klemensi,ʔlemensi,2
comelan,tʃomelan,1
mengesah,məŋəsah,2
berdengu,bərdəŋu,2
membutuhi,məmbutuhi,1
tabut,tabut,0
ranap,ranap,0
apian,apian,0
fleksibilitas,fleʔsibilitas,1
memerikan,məmərikan,2
kangkung,kaŋkuŋ,0
pencoblos,pəntʃoblos,1
alimiah,alimiah,0
tiba,tiba,0
urapan,urapan,0
mengepulkan,məŋəpulkan,2
diasah,diasah,0
antiklimaks,antiʔlimaʔs,0
panggangan,paŋgaŋan,0
pedewakan,pədewakan,2
bakal,bakal,0
aversi,aversi,1
rohaniwan,rohaniwan,0
urutan,urutan,0
belang,bəlaŋ,1
sanggup,saŋgup,0
gelembung,gələmbuŋ,2
kreditor,ʔreditor,1
tekel,tekəl,2
mencelakakan,məntʃəlakakan,2
permen,pərmen,2
terong,teroŋ,1
penyembelihan,pəɲəmbəlihan,3
monyet,moɲet,1
pemerkosaan,pəmərkosaʔan,2
ketahuan,kətahuan,1
corek,tʃoreʔ,1
kalangan,kalaŋan,0
bertegur,bərtəgur,2
pelangkin,pəlaŋkin,1
pelapor,pəlapor,1
beset,bəset,2
jubah,dʒubah,0
kelambatan,kəlambatan,1
sigap,sigap,0
mendalang,məndalaŋ,1
pengangkut,pəŋaŋkut,1
pencalonan,pəntʃalonan,1
memprihatinkan,məmprihatinkan,1
tenaganya,tənagaɲa,1
kedapatan,kədapatan,1
sentadu,səntadu,1
suam,suam,0
pancuran,pantʃuran,0
kepetangan,kəpətaŋan,2
kaleng,kaleŋ,1
rabak,rabaʔ,0
tumpang,tumpaŋ,0
jiran,dʒiran,0
sedimen,sedimen,2
segera,səgəra,2
mendaruratkan,məndaruratkan,1
tergoncang,tərgontʃaŋ,1
memperluas,məmpərluas,2
mulia,mulia,0
sosiolog,sosiolog,0
bertelanjang,bərtəlandʒaŋ,2
lendiran,ləndiran,1
berteras,bərtəras,2
semayam,səmajam,1
tenggayun,təŋgajun,1
anabolisme,anabolismə,1
cuang,tʃuaŋ,0
perbahasa,pərbahasa,1
cok,tʃoʔ,0
terbantahkan,tərbantahkan,1
peresmian,pərəsmian,2
jagad,dʒagad,0
interpretasi,intərprətasi,2
dapat,dapat,0
babakan,babakan,0
kerenyam,kərəɲam,2
pengayom,pəŋajom,1
petala,pətala,1
elastik,elastiʔ,1
mengeceng,məŋetʃeŋ,3
hantam,hantam,0
dibekukan,dibəkukan,1
pancang,pantʃaŋ,0
kerek,kereʔ,2
menyelisir,məɲəlisir,2
sempritan,səmpritan,1
akrabnya,aʔrabɲa,0
mengelana,məŋəlana,2
terbelit,tərbəlit,2
balad,balad,0
sangkut,saŋkut,0
kromium,ʔromium,0
maket,maket,1
pendurhakaan,pəndurhakaʔan,1
pendendam,pəndəndam,2
pedel,pedel,2
ditipu,ditipu,0
punca,puntʃa,0
pembela,pəmbela,2
kecipir,kətʃipir,1
keneker,kənekər,3
kecermatan,kətʃərmatan,2
sehat,sehat,1
dwiperan,dwipəran,1
panaskan,panaskan,0
memintai,məmintai,1
pembelas,pəmbəlas,2
berdengar,bərdəŋar,2
dedalu,dədalu,1
periode,periodə,2
monoteisme,monoteismə,2
mentolo,məntolo,1
sila,sila,0
beralat,bəralat,1
boleh,boleh,1
pelesiran,pələsiran,2
enjin,endʒin,1
bereo,bəreo,2
gantian,gantian,0
asu,asu,0
ketan,kətan,1
perlus,pərlus,1
menyerantakan,məɲərantakan,2
perlu,pərlu,1
pembulatan,pəmbulatan,1
pesinden,pəsinden,2
termundur,tərmundur,1
pengkar,peŋkar,1
deduktif,deduʔtif,1
ketikan,kətikan,1
proletar,prolətar,1
populer,populer,1
perkamen,perkamen,2
kemejan,kəmədʒan,2
mencermini,məntʃərmini,2
melanggar,məlaŋgar,1
mengenyal,məŋəɲal,2
belacu,bəlatʃu,1
kealahan,kəalahan,1
mengambau,məŋambau,1
kerbat,kərbat,1
terpisahkan,tərpisahkan,1
formal,formal,0
menghentikan,məŋhəntikan,2
dapurnya,dapurɲa,0
kebalikan,kəbalikan,1
berdesus,bərdəsus,2
import,import,0
apriori,apriori,0
luruh,luruh,0
tungkai,tuŋkai,0
rosak,rosaʔ,0
pembungkam,pəmbuŋkam,1
siang,siaŋ,0
jerat,dʒərat,1
alup,alup,0
membebaskan,məmbebaskan,2
menebangi,mənəbaŋi,2
menguliti,məŋuliti,1
terampuni,tərampuni,1
berkejaran,bərkədʒaran,2
habislah,habislah,0
dentang,dəntaŋ,1
pembiaya,pəmbiaja,1
rendam,rəndam,1
jelma,dʒəlma,1
kelulusan,kəlulusan,1
kelajuan,kəladʒuan,1
busa,busa,0
makrokosmos,maʔrokosmos,0
bendaharawan,bəndaharawan,1
cericip,tʃəritʃip,1
ayun,ajun,0
meliputi,məliputi,1
langau,laŋau,0
menaburkan,mənaburkan,1
persalinan,pərsalinan,1
berkursus,bərkursus,1
namanya,namaɲa,0
kelebek,kəlebeʔ,3
cengkaruk,tʃəŋkaruʔ,1
pengecaman,pəŋətʃaman,2
berselam,bərsəlam,2
coko,tʃoko,0
mendukakan,məndukakan,1
arkati,arkati,0
dolmen,dolmen,1
sebel,səbəl,2
sengaring,səŋariŋ,1
bahaduri,bahaduri,0
mengorok,məŋoroʔ,1
mencekukan,məntʃəkukan,2
mengecil,məŋətʃil,2
masa,masa,0
pembubukan,pəmbubukan,1
lupi,lupi,0
intuisi,intuisi,0
berduka,bərduka,1
meludah,məludah,1
manikam,manikam,0
dahinya,dahiɲa,0
jarahan,dʒarahan,0
tertanam,tərtanam,1
meluruh,məluruh,1
membelalakkan,məmbəlalaʔkan,2
sponsor,sponsor,0
lusin,lusin,0
biri,biri,0
butulan,butulan,0
jika,dʒika,0
pionir,pionir,0
kumulatif,kumulatif,0
cenung,tʃənuŋ,1
kerbau,kərbau,1
mendeportasi,məndeportasi,2
campuran,tʃampuran,0
wahid,wahid,0
departemen,departəmen,3
bergaul,bərgaul,1
ketang,kətaŋ,1
timangan,timaŋan,0
puntung,puntuŋ,0
dapur,dapur,0
ehe,ehe,2
pertekstilan,pərteʔstilan,2
termasuk,tərmasuʔ,1
layar,lajar,0
selayaknya,səlajaʔɲa,1
primitif,primitif,0
bantar,bantar,0
petrografi,petrografi,1
percabangan,pərtʃabaŋan,1
lumbung,lumbuŋ,0
darulfana,darulfana,0
senta,sənta,1
dikuburkan,dikuburkan,0
penyihir,pəɲihir,1
petrokimia,petrokimia,1
tradisi,tradisi,0
menuduhkan,mənuduhkan,1
pendusta,pəndusta,1
hampa,hampa,0
sialan,sialan,0
pencatutan,pəntʃatutan,1
teladas,təladas,1
melimpahi,məlimpahi,1
duluan,duluan,0
berkakak,bərkakaʔ,1
embaru,əmbaru,1
anjangsana,andʒaŋsana,0
formasi,formasi,0
pengesan,pəŋesan,2
tergelincir,tərgəlintʃir,2
diserang,disəraŋ,1
tekatan,təkatan,1
decak,dətʃaʔ,1
pemuka,pəmuka,1
mencetak,məntʃetaʔ,2
kekek,kekeʔ,2
liar,liar,0
tempuyung,təmpujuŋ,1
perestroika,perestroika,2
simbolik,simboliʔ,0
metropolis,metropolis,1
mengangkatnya,məŋaŋkatɲa,1
kerit,kərit,1
kantong,kantoŋ,0
keajaiban,kəadʒaiban,1
calar,tʃalar,0
beginilah,bəginilah,1
kereta,kəreta,2
cingge,tʃiŋge,1
antar,antar,0
sekotah,səkotah,1
mengernying,məŋərɲiŋ,2
dilak,dilaʔ,0
memermak,məmərmaʔ,2
pokrol,poʔrol,0
didengar,didəŋar,1
menyegel,məɲegəl,3
bolehan,bolehan,1
arai,arai,0
bugar,bugar,0
bobotok,bobotoʔ,0
krim,ʔrim,0
pengajuan,pəŋadʒuan,1
dengarkan,dəŋarkan,1
santun,santun,0
memperkuat,məmpərkuat,2
mencengkeramkan,məntʃəŋkəramkan,3
ketidakadilan,kətidakadilan,1
guyon,gujon,0
pamrih,pamrih,0
murtad,murtad,0
babas,babas,0
mual,mual,0
negara,nəgara,1
biola,biola,0
dicukur,ditʃukur,0
terbiar,tərbiar,1
iblis,iblis,0
pelarian,pəlarian,1
afal,afal,0
bangkong,baŋkoŋ,0
penenunan,pənənunan,2
keracunan,kəratʃunan,1
kediaman,kədiaman,1
hardik,hardiʔ,0
rintangan,rintaŋan,0
manipulasi,manipulasi,0
tercampur,tərtʃampur,1
serta,sərta,1
melingkupi,məliŋkupi,1
mengangakan,məŋaŋakan,1
jimak,dʒimaʔ,0
mengawahamakan,məŋawahamakan,1
terkeluk,tərkəluʔ,2
kepadaku,kəpadaku,1
kuap,kuap,0
berapa,bərapa,1
alaihi,alaihi,0
bertingkat,bərtiŋkat,1
bazar,bazar,0
aspal,aspal,0
membuhul,məmbuhul,1
pembengkakan,pəmbəŋkakan,2
dipijak,dipidʒaʔ,0
berkuat,bərkuat,1
mikro,miʔro,0
sentimeter,sentimetər,3
taman,taman,0
menanjak,mənandʒaʔ,1
meruk,məruʔ,1
minatnya,minatɲa,0
sisik,sisiʔ,0
persetujuan,pərsətudʒuan,2
memelas,məməlas,2
ditampar,ditampar,0
memekuk,məməkuʔ,2
terkongkong,tərkoŋkoŋ,1
menyingkat,məɲiŋkat,1
setu,sətu,1
mengacung,məŋatʃuŋ,1
genetis,genətis,2
kelubi,kəlubi,1
hukumannya,hukumanɲa,0
manja,mandʒa,0
aklimatisasi,aʔlimatisasi,0
penyelam,pəɲəlam,2
dangkar,daŋkar,0
acara,atʃara,0
menegaskan,mənəgaskan,2
persatuan,pərsatuan,1
membahan,məmbahan,1
dawai,dawai,0
beludak,bəludaʔ,1
mandat,mandat,0
picing,pitʃiŋ,0
berterima,bərtərima,2
keluar biasaan,kəluarbiasaʔan,1
merundingkan,mərundiŋkan,1
kanan,kanan,0
menghalusi,məŋhalusi,1
menyudutkan,məɲudutkan,1
draf,draf,0
robek,robeʔ,1
beradeh,bəradeh,2
mengkis,məŋkis,1
mengutuk,məŋutuʔ,1
menegang,mənəgaŋ,2
selerak,səleraʔ,2
sematan,səmatan,1
manfaatnya,manfaʔatɲa,0
fragmentasi,fragmentasi,1
penelitian,pənəlitian,2
selaju,səladʒu,1
beranggul,bəraŋgul,1
mencampurkan,məntʃampurkan,1
buruj,burudʒ,0
integral,integral,1
menyelembana,məɲələmbana,3
cangak,tʃaŋaʔ,0
celup,tʃəlup,1
membutuhkan,məmbutuhkan,1
tertekan,tərtəkan,2
mengunci,məŋuntʃi,1
keraton,kəraton,1
penis,penis,1
carak,tʃaraʔ,0
kebaikan,kəbaikan,1
lidah,lidah,0
tenusu,tənusu,1
alimbubu,alimbubu,0
memabukkan,məmabuʔkan,1
memperbagus,məmpərbagus,2
mengkali,məŋkali,1
memecat,məmətʃat,2
bakpao,baʔpao,0
menceboki,məntʃeboki,2
banting,bantiŋ,0
fisiologi,fisiologi,0
tahniah,tahniah,0
kontaminasi,kontaminasi,0
kemudahan,kəmudahan,1
pengkhususan,pəŋʔhususan,1
perceraian,pərtʃəraian,2
referensi,refərensi,3
berlekuk,bərləkuʔ,2
gerun,gərun,1
keram,kəram,1
mengaburkan,məŋaburkan,1
mendemo,məndemo,2
hasad,hasad,0
kesanggupan,kəsaŋgupan,1
memagar,məmagar,1
loteng,loteŋ,1
bercoreng,bərtʃoreŋ,2
diselenggarakan,disələŋgarakan,2
penyembur,pəɲəmbur,2
rasakan,rasakan,0
kabar,kabar,0
pendongeng,pəndoŋeŋ,2
ceklek,tʃəʔleʔ,2
melilit,məlilit,1
ketololan,kətololan,1
membedakkan,məmbədaʔkan,2
menoreh,mənoreh,2
mencahayakan,məntʃahajakan,1
meledaknya,mələdaʔɲa,2
raden,raden,1
sawit,sawit,0
mengitari,məŋitari,1
ketangkasan,kətaŋkasan,1
senggol,seŋgol,1
selesa,səlesa,2
asumsi,asumsi,0
ton,ton,0
balan,balan,0
sebisanya,səbisaɲa,1
amen,amen,1
perbadanan,pərbadanan,1
telentang,tələntaŋ,2
mengadopsi,məŋadopsi,1
seminari,seminari,1
perangai,pəraŋai,1
sepi,səpi,1
cerpelai,tʃərpəlai,2
memencak,məməntʃaʔ,2
artikulasi,artikulasi,0
burdah,burdah,0
colok,tʃoloʔ,0
momentum,momentum,1
spageti,spageti,1
keparat,kəparat,1
pinjaman,pindʒaman,0
hubungi,hubuŋi,0
masala,masala,0
bungkusan,buŋkusan,0
ansur,ansur,0
antusiasme,antusiasmə,1
bungalo,buŋalo,0
tau,tau,0
cengengesan,tʃəŋeŋesan,3
lapis,lapis,0
menari,mənari,1
spesialis,spesialis,1
italik,italiʔ,0
menarik,mənariʔ,1
menebok,məneboʔ,2
cek,tʃeʔ,1
semangatnya,səmaŋatɲa,1
sepertimana,səpərtimana,2
mistik,mistiʔ,0
ia,ia,0
kebisingan,kəbisiŋan,1
aorta,aorta,0
khitan,ʔhitan,0
ekstradisi,eʔstradisi,1
setren,sətren,2
memedang,məmədaŋ,2
ametis,amətis,1
dialih,dialih,0
rampai,rampai,0
ketela,kətela,2
menetal,mənətal,2
bolot,bolot,0
delik,dəliʔ,1
anfas,anfas,0
cakela,tʃakəla,1
olok,oloʔ,0
sogok,sogoʔ,0
tali,tali,0
tromol,tromol,0
bedung,bəduŋ,1
sebar,səbar,1
cenduai,tʃənduai,1
capang,tʃapaŋ,0
minimum,minimum,0
membuntuti,məmbuntuti,1
grafis,grafis,0
membiara,məmbiara,1
beker,bekər,2
gugur,gugur,0
beringsang,bəriŋsaŋ,1
kemahiran,kəmahiran,1
berpartisipasi,bərpartisipasi,1
pembenahan,pəmbənahan,2
berkhalwat,bərʔhalwat,1
menggembala,məŋgəmbala,2
rejam,rədʒam,1
keberhasilan,kəbərhasilan,2
mempertegas,məmpərtəgas,3
mengepel,məŋəpel,3
berpendapat,bərpəndapat,2
teoretis,teoretis,2
eksem,eʔsem,2
berdeging,bərdəgiŋ,2
sambungan,sambuŋan,0
angsuran,aŋsuran,0
anju,andʒu,0
berlimau,bərlimau,1
kerap,kərap,1
tahan,tahan,0
senilai,sənilai,1
menganiaya,məŋaniaja,1
kerucut,kərutʃut,1
mengamini,məŋamini,1
interviu,intərviu,1
tebu,təbu,1
pancaragam,pantʃaragam,0
polemik,polemiʔ,1
melintasi,məlintasi,1
kegembiraan,kəgəmbiraʔan,2
katedral,katedral,1
keampuhan,kəampuhan,1
membencanakan,məmbəntʃanakan,2
meneduhi,mənəduhi,2
pengetua,pəŋətua,2
setrum,sətrum,1
terangkup,təraŋkup,1
jikalau,dʒikalau,0
lupus,lupus,0
membedakan,məmbedakan,2
berdiet,bərdiet,2
paradigma,paradigma,0
terbeliak,tərbəliaʔ,2
setrik,sətriʔ,1
diris,diris,0
penganalisis,pəŋanalisis,1
ketidak taatan,kətidaktaʔatan,1
dependen,dependen,3
domestik,domestiʔ,1
sani,sani,0
kenes,kənes,2
mencomot,məntʃomot,1
kemukakan,kəmukakan,1
cempelik,tʃəmpəliʔ,2
kekelaman,kəkəlaman,2
argon,argon,0
terjemahan,tərdʒəmahan,2
perkauman,pərkauman,1
dugas,dugas,0
tasauf,tasauf,0
bangang,baŋaŋ,0
penyataan,pəɲataʔan,1
kerotot,kərotot,1
belongkeng,bəloŋkeŋ,2
ideologi,ideologi,1
karangan,karaŋan,0
imigresen,imigresən,2
berijazah,bəridʒazah,1
mengernai,məŋərnai,2
sebakul,səbakul,1
sewarga,səwarga,1
cekatan,tʃəkatan,1
penekanan,pənəkanan,2
menekapi,mənəkapi,2
perkumpulan,pərkumpulan,1
bauksit,bauʔsit,0
benakku,bənaʔku,1
anggak,aŋgaʔ,0
anja,andʒa,0
dwifungsi,dwifuŋsi,0
tercagak,tərtʃagaʔ,1
skrip,sʔrip,0
bahtera,bahtəra,1
pilih,pilih,0
menempikkan,mənəmpiʔkan,2
kelaziman,kəlaziman,1
brambang,brambaŋ,0
kemelesetan,kəməlesetan,4
boseta,boseta,1
diacungkan,diatʃuŋkan,0
suat,suat,0
spasi,spasi,0
sosialis,sosialis,0
berlonggok,bərloŋgoʔ,1
berpangkalan,bərpaŋkalan,1
tembaganya,təmbagaɲa,1
binjai,bindʒai,0
bedebah,bədəbah,2
penghapus,pəŋhapus,1
berbalas,bərbalas,1
ayahmu,ajahmu,0
pegari,pəgari,1
berangka,bəraŋka,1
beha,beha,1
putihnya,putihɲa,0
seranggung,səraŋguŋ,1
penggusuran,pəŋgusuran,1
satelit,satəlit,1
kha,ʔha,0
penegas,pənəgas,2
bruto,bruto,0
elegan,elegan,2
mendalami,məndalami,1
ping pong,piŋpoŋ,0
beristirahat,bəristirahat,1
pembedolan,pəmbədolan,2
kemeja,kəmedʒa,2
berkeredong,bərkəredoŋ,3
menyengkelangkan,məɲəŋkəlaŋkan,3
mendapatkan,məndapatkan,1
menanamkan,mənanamkan,1
berbugil,bərbugil,1
melepas,mələpas,2
semacam,səmatʃam,1
belitung,bəlituŋ,1
mandala,mandala,0
mempercabangkan,məmpərtʃabaŋkan,2
syor,sjor,0
gayut,gajut,0
menggilai,məŋgilai,1
bernubuat,bərnubuat,1
alkaloid,alkaloid,0
sampaikan,sampaikan,0
berikat,bərikat,1
bubungan,bubuŋan,0
biokimia,biokimia,0
kontras,kontras,0
kayuh,kajuh,0
pekerja,pəkərdʒa,2
nabi,nabi,0
destruksi,destruʔsi,1
cemong,tʃemoŋ,1
pengilham,pəŋilham,1
carter,tʃartər,1
sulungnya,suluŋɲa,0
kencan,kəntʃan,1
hadirat,hadirat,0
mempersiapkan,məmpərsiapkan,2
mempening,məmpəniŋ,2
siput,siput,0
borak,boraʔ,0
membentur,məmbəntur,2
arem,arəm,1
perebakan,pərebakan,2
sepenuh,səpənuh,2
galur,galur,0
semaput,səmaput,1
kekhasan,kəʔhasan,1
berastakona,bərastakona,1
terpinggir,tərpiŋgir,1
menular,mənular,1
sampul,sampul,0
menyusut,məɲusut,1
membingkis,məmbiŋkis,1
memperbaurkan,məmpərbaurkan,2
melaksanakan,məlaʔsanakan,1
menunaikan,mənunaikan,1
recok,retʃoʔ,1
keasrian,kəasrian,1
beroda,bəroda,1
daerah,daerah,1
kelabau,kəlabau,1
rohnya,rohɲa,0
girangnya,giraŋɲa,0
pengkajian,pəŋkadʒian,1
pendaftar,pəndaftar,1
situasi,situasi,0
berdagang,bərdagaŋ,1
absah,absah,0
brevet,brəvet,2
sejoli,sədʒoli,1
masaknya,masaʔɲa,0
agraria,agraria,0
ceplas,tʃəplas,1
korting,kortiŋ,0
hinggap,hiŋgap,0
swakarsa,swakarsa,0
kemuncak,kəmuntʃaʔ,1
serunai,sərunai,1
brutalisme,brutalismə,1
perca,pərtʃa,1
bengkuang,bəŋkuaŋ,1
pangsa,paŋsa,0
pengelak,pəŋelaʔ,2
sangat,saŋat,0
pisau,pisau,0
bebekisme,bebekismə,3
kesampaian,kəsampaian,1
menyerahkan,məɲərahkan,2
perwara,pərwara,1
batal,batal,0
sorai,sorai,0
buncis,buntʃis,0
secuil,sətʃuil,1
pengalihan,pəŋalihan,1
kelompang,kəlompaŋ,1
receh,retʃeh,2
menyukat,məɲukat,1
ibu,ibu,0
dibukukan,dibukukan,0
cilap,tʃilap,0
sengkelit,səŋkəlit,2
bergereja,bərgəredʒa,3
luntur,luntur,0
perserikatan,pərsərikatan,2
andainya,andaiɲa,0
terjerat,tərdʒərat,2
cerapan,tʃərapan,1
banyol,baɲol,0
pembelotan,pəmbelotan,2
akad,akad,0
keterusan,kətərusan,2
tergesa,tərgəsa,2
eling,eliŋ,1
jeriken,dʒeriken,2
pesara,pəsara,1
belingsat,bəliŋsat,1
keretakan,kərətakan,2
memalukan,məmalukan,1
menyelundup,məɲəlundup,2
maulana,maulana,0
caos,tʃaos,0
menggores,məŋgores,2
kelongkong,kəloŋkoŋ,1
bangkir,baŋkir,0
junjungan,dʒundʒuŋan,0
karavan,karavan,0
denyar,dəɲar,1
antroposentris,antroposentris,1
dadi,dadi,0
payudara,pajudara,0
terbelam,tərbəlam,2
menyekap,məɲəkap,2
mengercitkan,məŋərtʃitkan,2
jatuhnya,dʒatuhɲa,0
pesisir,pəsisir,1
kesulitan,kəsulitan,1
menyerongkan,məɲeroŋkan,2
berbaja,bərbadʒa,1
jurusan,dʒurusan,0
jeti,dʒeti,1
tersisih,tərsisih,1
oditur,oditur,0
berbau,bərbau,1
perahunya,pərahuɲa,1
mentalitas,mentalitas,1
plakat,plakat,0
duabelas,duabəlas,1
kepai,kəpai,1
mengoptimumkan,məŋoptimumkan,1
