kata,ipa
taksub,taʔsub
berantas,bərantas
murah,murah
tikam,tikam
persuratan,pərsuratan
mendemonstrasi,məndemonstrasi
gaun,gaun
pengerutan,pəŋərutan
komposisi,komposisi
pemadam,pəmadam
perkomputeran,pərkomputəran
penelantaran,pənəlantaran
cakalang,tʃakalaŋ
pergerakan,pərgərakan
mentibu,məntibu
diet,diet
lembar,ləmbar
partisi,partisi
serbaneka,sərbaneka
gelisah,gəlisah
kamat,kamat
keterbacaan,kətərbatʃaʔan
menekang,mənəkaŋ
mengecundangi,məŋətʃundaŋi
porselen,porsəlen
kesatria,kəsatria
bijih,bidʒih
berujar,bərudʒar
berkeruh,bərkəruh
keramaian,kəramaian
ngengat,ŋəŋat
tonjolan,tondʒolan
makamkan,makamkan
keranjang,kərandʒaŋ
bayinya,bajiɲa
keputren,kəputren
fuad,fuad
bekerjasama,bəkərdʒasama
mencari,məntʃari
pemandu,pəmandu
beradeh,bəradeh
kawal,kawal
disayangkan,disajaŋkan
terbelam,tərbəlam
mengawang,məŋawaŋ
masyhur,masjhur
membumikan,məmbumikan
hangus,haŋus
mengedaikan,məŋədaikan
arsitek,arsiteʔ
pelatihan,pəlatihan
perbahasaan,pərbahasaʔan
sawan,sawan
begitu,bəgitu
dinaiki,dinaiki
tiadanya,tiadaɲa
belida,bəlida
terlelap,tərləlap
hadirnya,hadirɲa
fakir,fakir
memberitakan,məmbəritakan
seksmaniak,seʔsmaniaʔ
sah,sah
menyelatkan,məɲəlatkan
penjualan,pəndʒualan
tempinah,təmpinah
gudeg,gudəg
dia,dia
kebas,kəbas
pembantah,pəmbantah
ketegangan,kətəgaŋan
jamuan,dʒamuan
administrator,administrator
hambat,hambat
memerhatikan,məmərhatikan
pemegatan,pəməgatan
prajurit,pradʒurit
memperselisihkan,məmpərsəlisihkan
berketrampilan,bərkətrampilan
kes,kes
perburuan,pərburuan
kebabal,kəbabal
antagonis,antagonis
cerecek,tʃəretʃeʔ
urusan,urusan
anti,anti
pengimpor,pəŋimpor
merlilin,mərlilin
rumputan,rumputan
mengingati,məŋiŋati
berbenar,bərbənar
acak,atʃaʔ
diasak,diasaʔ
percukongan,pərtʃukoŋan
lembah,ləmbah
kerampagi,kərampagi
sukma,suʔma
laut,laut
oknum,oʔnum
kerambit,kərambit
reguk,rəguʔ
ekspor,eʔspor
beluam,bəluam
interpolasi,intərpolasi
serimpi,sərimpi
keteng,keteŋ
memindah,məmindah
iklim,iʔlim
interaksi,intəraʔsi
berteleku,bərtələku
kedukaan,kədukaʔan
ekspresionistik,eʔspresionistiʔ
member,məmbər
berserakan,bərserakan
terguris,tərguris
mematangkan,məmataŋkan
eksekutif,eʔsekutif
penganan,pəŋanan
kolusi,kolusi
tembikai,təmbikai
penaklukan,pənaʔlukan
penyelubung,pəɲəlubuŋ
awanama,awanama
transmisi,transmisi
cerup,tʃərup
hukum,hukum
pengecapan,pəŋətʃapan
boling,boliŋ
menyeruduk,məɲəruduʔ
pengorbanan,pəŋorbanan
reuni,reuni
abet,abət
keberuntungan,kəbəruntuŋan
kejut,kədʒut
mengaum,məŋaum
bakak,bakaʔ
mendongkrak,məndoŋʔraʔ
beterbangan,bətərbaŋan
dirasa,dirasa
spesialisasi,spesialisasi
menenarkan,mənenarkan
elektromagnetisme,eleʔtromagnetismə
mengecap,məŋətʃap
menyokong,məɲokoŋ
labur,labur
peser,peser
cebar,tʃəbar
suster,sustər
kehausan,kəhausan
kadang,kadaŋ
bergelegak,bərgələgaʔ
cambul,tʃambul
bertenggek,bərteŋgeʔ
kemalaman,kəmalaman
genit,gənit
pinggang,piŋgaŋ
teramung,təramuŋ
televisi,televisi
halim,halim
membuih,məmbuih
botok,botoʔ
soba,soba
bungalo,buŋalo
realistis,realistis
ketil,kətil
peniupan,pəniupan
garap,garap
menatang,mənataŋ
sedaging,sədagiŋ
panjangnya,pandʒaŋɲa
kader,kadər
penenggek,pəneŋgeʔ
menghembuskan,məŋhəmbuskan
kebanjiran,kəbandʒiran
terpisah,tərpisah
utara,utara
menghampakan,məŋhampakan
dikehendakinya,dikəhəndakiɲa
arsitektur,arsiteʔtur
serutan,sərutan
berlanjutan,bərlandʒutan
piring,piriŋ
leluhur,ləluhur
membiru,məmbiru
mengamplopi,məŋamplopi
mengeloni,məŋeloni
anjal,andʒal
mengengkeng,məŋeŋkeŋ
menyengkelit,məɲəŋkəlit
mengomel,məŋomel
cula,tʃula
mengakui,məŋakui
takrif,taʔrif
antarmuka,antarmuka
bundung,bunduŋ
gandarusa,gandarusa
kekaguman,kəkaguman
tersepuh,tərsəpuh
ion,ion
berpangku,bərpaŋku
pecahnya,pətʃahɲa
bonceng,bontʃeŋ
ombak,ombaʔ
gudang,gudaŋ
rakan,rakan
perit,pərit
meninggi,məniŋgi
memeningkan,məməniŋkan
kuyup,kujup
mekanik,mekaniʔ
menjahanamkan,məndʒahanamkan
figur,figur
rusuh,rusuh
mengamankan,məŋamankan
temanten,təmanten
tuai,tuai
ogah,ogah
penyek,peɲeʔ
sikat,sikat
tengahan,təŋahan
memuja,məmudʒa
blekok,bləkoʔ
taruhlah,taruhlah
aberasi,abərasi
mengangkasa,məŋaŋkasa
setu,sətu
penernak,pənərnaʔ
sergam,sərgam
nyawanya,ɲawaɲa
penyeleksi,pəɲeleʔsi
perli,pərli
labirin,labirin
izin,izin
terperinci,tərpərintʃi
perhimpunan,pərhimpunan
tertemukan,tərtəmukan
pampas,pampas
permasalahan,pərmasalahan
berungut,bəruŋut
kecipir,kətʃipir
menabung,mənabuŋ
sengsam,səŋsam
kekusutan,kəkusutan
selo,selo
ilah,ilah
kuat,kuat
serudukan,sərudukan
rekomendasi,rekoməndasi
ditindak,ditindaʔ
kesendalan,kəsəndalan
kepausan,kəpausan
pencatuan,pəntʃatuan
corot,tʃorot
menyembunyikan,məɲəmbuɲikan
perzinaan,pərzinaʔan
mencicit,məntʃitʃit
gusti,gusti
menempuhkan,mənəmpuhkan
cokok,tʃokoʔ
bakda,baʔda
melaungkan,məlauŋkan
cespleng,tʃəspləŋ
pembalakan,pəmbalakan
emas,əmas
komprehensif,komprehensif
minima,minima
memperbantal,məmpərbantal
basal,basal
ketes,kətes
pengeliling,pəŋəliliŋ
selira,səlira
bengkong,beŋkoŋ
mengakali,məŋakali
pertengkaran,pərtəŋkaran
berkaliber,bərkalibər
menutup,mənutup
lipur,lipur
seret,seret
bersegera,bərsəgəra
keluarganya,kəluargaɲa
batung,batuŋ
belut,bəlut
kebersihan,kəbərsihan
cempung,tʃəmpuŋ
barli,barli
geliut,gəliut
bunda,bunda
rindang,rindaŋ
melangsingkan,məlaŋsiŋkan
desir,dəsir
giginya,gigiɲa
tahbisan,tahbisan
mencabutkan,məntʃabutkan
terhenti,tərhənti
membukankan,məmbukankan
candramawa,tʃandramawa
bengung,bəŋuŋ
mendiruskan,məndiruskan
kolibri,kolibri
didamaikan,didamaikan
ombang,ombaŋ
selaras,səlaras
steker,stekər
saingannya,saiŋanɲa
maktab,maʔtab
melambat,məlambat
tengkek,teŋkeʔ
domein,domein
memepah,məməpah
piutang,piutaŋ
buntut,buntut
sepam,səpam
pelukan,pəlukan
baunya,bauɲa
sentol,sentol
debaran,dəbaran
sajak,sadʒaʔ
fotosintesis,fotosintesis
pemahaman,pəmahaman
menghalakan,məŋhalakan
dah,dah
memori,memori
pertalan,pərtalan
jaket,dʒaket
keberatan,kəbəratan
bersukacita,bərsukatʃita
keeksentrikan,kəeʔsentrikan
bungkam,buŋkam
ranum,ranum
sebanyak,səbaɲaʔ
menempa,mənəmpa
kebiasaan,kəbiasaʔan
menyorot,məɲorot
mendermakan,məndərmakan
dipisahkan,dipisahkan
sejahtera,sədʒahtəra
kepencong,kəpentʃoŋ
bermanis,bərmanis
halia,halia
kelihatan,kəlihatan
beasiswa,beasiswa
ditumpahkan,ditumpahkan
menguakkan,məŋuaʔkan
cumengkling,tʃuməŋʔliŋ
pengangkutan,pəŋaŋkutan
desainer,desainər
lembam,ləmbam
mengkhususkan,məŋʔhususkan
ember,ember
perasukan,pərasukan
cadangan,tʃadaŋan
pembela,pəmbela
depus,dəpus
pusatnya,pusatɲa
sperma,sperma
berlinang,bərlinaŋ
menuturkan,mənuturkan
mencarahkan,məntʃarahkan
jagal,dʒagal
terpegun,tərpəgun
berseluar,bərsəluar
feminin,feminin
apologi,apologi
degap,dəgap
kerinan,kərinan
tega,tega
menghamilkan,məŋhamilkan
teralang,təralaŋ
reyot,rejot
mendaging,məndagiŋ
mengasinkan,məŋasinkan
menarik,mənariʔ
kemerdekaan,kəmərdekaʔan
petala,pətala
tangkas,taŋkas
sediakan,sədiakan
sedeng,sedeŋ
mengaduh,məŋaduh
dilaksanakan,dilaʔsanakan
perbudakan,pərbudakan
cipratan,tʃipratan
potong,potoŋ
bidak,bidaʔ
permesinan,pərməsinan
tergoncangkan,tərgontʃaŋkan
agitator,agitator
penuaian,pənuaian
khitan,ʔhitan
reformasi,reformasi
menjajaki,məndʒadʒaki
ekspresionisme,eʔspresionismə
dangkung,daŋkuŋ
pelana,pəlana
menghafal,məŋhafal
jemputan,dʒəmputan
sekadar,səkadar
terbelintang,tərbəlintaŋ
berdentuman,bərdəntuman
pertuturan,pərtuturan
mengiris,məŋiris
pekaja,pəkadʒa
berserama,bərsərama
kemewahan,kəmewahan
bapa,bapa
balalaika,balalaika
barunya,baruɲa
bayak,bajaʔ
telapak,təlapaʔ
sendat,səndat
rekan,rəkan
pelayar,pəlajar
kebat,kəbat
biayanya,biajaɲa
colong,tʃoloŋ
perhatikan,pərhatikan
sirkit,sirkit
berderau,bərdərau
arau,arau
terpisahkan,tərpisahkan
perdayaan,pərdajaʔan
bocor,botʃor
mempersetan,məmpərsetan
pengklonan,pəŋʔlonan
terhimpun,tərhimpun
selepat,sələpat
bercericau,bərtʃəritʃau
mengkona,məŋkona
bakaran,bakaran
permeabel,permeabəl
kelolong,kəloloŋ
berbasut,bərbasut
berlanjut,bərlandʒut
melucutkan,məlutʃutkan
mengutuki,məŋutuki
grafis,grafis
sodok,sodoʔ
gamping,gampiŋ
takkan,taʔkan
sekal,səkal
berombak,bərombaʔ
tapai,tapai
mengusut,məŋusut
dialah,dialah
dipancarkan,dipantʃarkan
mengait,məŋait
cuci,tʃutʃi
cakus,tʃakus
kangkang,kaŋkaŋ
bersengkelit,bərsəŋkəlit
membendung,məmbənduŋ
pendagi,pəndagi
diharap,diharap
mencabut,məntʃabut
membutuhi,məmbutuhi
mencobai,məntʃobai
kontol,kontol
selimang,səlimaŋ
pemarah,pəmarah
intensif,intensif
ditagih,ditagih
tercekik,tərtʃəkiʔ
jurus,dʒurus
metalurgi,metalurgi
materiil,materiʔil
asyura,asjura
diubah,diubah
memepetkan,məmepetkan
ekstra,eʔstra
menembaga,mənəmbaga
resonansi,resonansi
raungan,rauŋan
memilih,məmilih
menyunting,məɲuntiŋ
akson,aʔson
sejoli,sədʒoli
memaklumi,məmaʔlumi
mengajak,məŋadʒaʔ
sampul,sampul
ajaran,adʒaran
berkenalan,bərkənalan
pengabadian,pəŋabadian
penghadang,pəŋhadaŋ
amplifikasi,amplifikasi
gobek,gobeʔ
induk,induʔ
serempu,sərəmpu
selindung,səlinduŋ
semula,səmula
berlian,bərlian
mengesalkan,məŋəsalkan
berdahanam,bərdahanam
acum,atʃum
berlukiskan,bərlukiskan
naung,nauŋ
ketaton,kətaton
capgome,tʃapgome
situlah,situlah
masukkan,masuʔkan
bergegar,bərgəgar
menyamar,məɲamar
selukat,səlukat
membilai,məmbilai
menggoncang,məŋgontʃaŋ
artikel,artikəl
berkecambah,bərkətʃambah
pengiring,pəŋiriŋ
taklimat,taʔlimat
berhias,bərhias
menerkupkan,mənərkupkan
tengkang,təŋkaŋ
autodidaktik,autodidaʔtiʔ
demokratis,demoʔratis
bunduk,bunduʔ
pangkur,paŋkur
terseringing,tərsəriŋiŋ
purnawirawan,purnawirawan
jintan,dʒintan
pengacum,pəŋatʃum
ulang,ulaŋ
serawak,sərawaʔ
mengelam,məŋəlam
daster,dastər
am,am
mengembungkan,məŋəmbuŋkan
prostaglandin,prostaglandin
a go go,a-go-go
ompong,ompoŋ
menembus,mənəmbus
menyekolahkan,məɲəkolahkan
mengotakan,məŋotakan
bahasawan,bahasawan
tepermanai,təpərmanai
pertegasan,pərtəgasan
landskap,landskap
bentulu,bəntulu
tekte,teʔte
setiabu,sətiabu
kerkau,kərkau
diplomatik,diplomatiʔ
terendak,tərendaʔ
menyerang,məɲəraŋ
dikembalikannya,dikəmbalikanɲa
ketuir,kətuir
pendudukan,pəndudukan
selaju,səladʒu
kebentok,kəbəntoʔ
kelis,kəlis
mana,mana
korbannya,korbanɲa
berpedoman,bərpədoman
menganeksasi,məŋanəʔsasi
diumpamakan,diumpamakan
bahkan,bahkan
penglihatan,pəŋlihatan
mengingini,məŋiŋini
zuriat,zuriat
diterjang,ditərdʒaŋ
pasif,pasif
gairah,gairah
barzakh,barzaʔh
penanggalan,pənaŋgalan
tertampan,tərtampan
lontaran,lontaran
babang,babaŋ
humanisme,humanismə
lawan,lawan
menawarkan,mənawarkan
gombak,gombaʔ
saadah,saʔadah
anaerobik,anaerobiʔ
intim,intim
serondong,sərondoŋ
takbur,taʔbur
penghapusan,pəŋhapusan
kargo,kargo
memensiunkan,məmensiunkan
sedini,sədini
ungu,uŋu
bazoka,bazoka
pembungkus,pəmbuŋkus
sehaluan,səhaluan
mengerukkan,məŋəruʔkan
pipet,pipet
setahap,sətahap
pemecahannya,pəmətʃahanɲa
mencengut,məntʃəŋut
mergat,mərgat
pembobol,pəmbobol
bembar,bembar
abece,abetʃe
kelentong,kəlentoŋ
menganeka jeniskan,məŋaneka-dʒəniskan
tumpukan,tumpukan
tembera,təmbəra
laknatullah,laʔnatullah
berbelasungkawa,bərbelasuŋkawa
mencelak,məntʃelaʔ
berik,bəriʔ
pala,pala
boncong,bontʃoŋ
merepotkan,mərepotkan
meringkas,məriŋkas
menyunat,məɲunat
saluran,saluran
pengar,pəŋar
membengkar,məmbəŋkar
memanggang,məmaŋgaŋ
menskors,mənskors
madya,madja
bangsawan,baŋsawan
merembat,mərəmbat
mencipta,məntʃipta
akseptor,aʔseptor
aronan,aronan
oles,oles
menelegram,məneləgram
dikurangi,dikuraŋi
benyot,beɲot
penjaruman,pəndʒaruman
pencemar,pəntʃəmar
sifat,sifat
memperapitkan,məmpərapitkan
pembantar,pəmbantar
bercengkerama,bərtʃəŋkərama
mengenyak,məŋəɲaʔ
dedes,dedes
antivirus,antivirus
duniawi,duniawi
stopkontak,stopkontaʔ
trend,trend
kononnya,kononɲa
pengurus,pəŋurus
peranti,pəranti
keangkaraan,kəaŋkaraʔan
tuntutannya,tuntutanɲa
ceropong,tʃəropoŋ
minuman,minuman
pilu,pilu
menyasarkan,məɲasarkan
granit,granit
slogan,slogan
sabak,sabaʔ
penurunan,pənurunan
undur,undur
teradat,təradat
aeroskop,aeroskop
kedodoran,kədodoran
sebegitu,səbəgitu
selayur,səlajur
sebagainya,səbagaiɲa
menyernak,məɲərnaʔ
baret,baret
daripadanya,daripadaɲa
bafta,bafta
potret,potret
barzanji,barzandʒi
mengkhayalkan,məŋʔhajalkan
seperasaan,səpərasaʔan
antonim,antonim
lembaga,ləmbaga
pedaging,pədagiŋ
bambungan,bambuŋan
abnormal,abnormal
nya,--ɲa
memperabukan,məmpərabukan
berkelumun,bərkəlumun
kesalahan,kəsalahan
kejelitaan,kədʒəlitaʔan
terperiksa,tərpəriʔsa
bega,bega
terpelanting,tərpəlantiŋ
citra,tʃitra
berlumur,bərlumur
mencecak,məntʃətʃaʔ
menilik,məniliʔ
kesanggupannya,kəsaŋgupanɲa
kebudayaan,kəbudajaʔan
belekok,bələkoʔ
seia,səia
berdengkung,bərdəŋkuŋ
kongesti,koŋesti
solusi,solusi
kompensasi,kompensasi
memperbagus,məmpərbagus
kelon,kəlon
membundel,məmbundəl
memeking,məməkiŋ
pentung,pəntuŋ
dengus,dəŋus
disewa,disewa
mengepel,məŋəpel
jenak,dʒənaʔ
barap,barap
sentuhan,səntuhan
etika,etika
berkeliling,bərkəliliŋ
mendiskusikan,məndiskusikan
kesenjangan,kəsəndʒaŋan
penatua,pənatua
sengkak,səŋkaʔ
kodrati,kodrati
kekasih,kəkasih
kepandaian,kəpandaian
wap,wap
kecentilan,kətʃəntilan
mengapungkan,məŋapuŋkan
sibuk,sibuʔ
aksen,aʔsen
pewarna,pəwarna
imigrasi,imigrasi
membeka,məmbeka
mengelola,məŋəlola
berseleleran,bərsəleleran
keripik,kəripiʔ
pengedit,pəŋedit
fraternitas,fraternitas
diplomasi,diplomasi
seruntun,səruntun
sendar,səndar
personalitas,pərsonalitas
rapi,rapi
perengus,pərəŋus
kolak,kolaʔ
penyesaran,pəɲəsaran
psikoanalisis,psikoanalisis
pemali,pəmali
mendepakan,məndəpakan
mendura,məndura
cangkung,tʃaŋkuŋ
terserimpung,tərsərimpuŋ
duli,duli
menetar,mənətar
pengetul,pəŋətul
azerbaijan,azərbaidʒan
korup,korup
munculnya,muntʃulɲa
mineralogi,minəralogi
terpuji,tərpudʒi
sumbang,sumbaŋ
berapresiasi,bərapresiasi
membalutkan,məmbalutkan
poliandri,poliandri
membakari,məmbakari
terbuka,tərbuka
apresiatif,apresiatif
risikan,risikan
menghadiri,məŋhadiri
aubade,aubadə
cita cita,tʃita-tʃita
pengkhianatan,pəŋʔhianatan
bagusnya,bagusɲa
menyerupakan,məɲərupakan
bangka,baŋka
mahar,mahar
dilanggar,dilaŋgar
tunangan,tunaŋan
seludang,səludaŋ
tagih,tagih
menafkahkan,mənafkahkan
awin,awin
loncat,lontʃat
sekar,səkar
terorisme,terorismə
artileri,artiləri
kodok,kodoʔ
kabisat,kabisat
mengecapkan,məŋetʃapkan
kempu,kəmpu
cut,tʃut
total,total
pemula,pəmula
pernikahannya,pərnikahanɲa
mendupai,məndupai
selongkar,səloŋkar
pencekalan,pəntʃəkalan
halo,halo
herba,herba
tergigit,tərgigit
menetekkan,məneteʔkan
gedebak,gədəbaʔ
mendepakkan,məndəpaʔkan
penuh,pənuh
dies,dies
riak,riaʔ
keinginan,kəiŋinan
pepohonan,pəpohonan
pembebanan,pəmbəbanan
siput,siput
gembur,gəmbur
merenggut,mərəŋgut
asma,asma
memperbaharui,məmpərbaharui
petia,pətia
dabat,dabat
nisbah,nisbah
bujuk,budʒuʔ
dembun,dəmbun
melantur,məlantur
etimologi,etimologi
isi,isi
telepok,təlepoʔ
dapur,dapur
eratkan,əratkan
bumiah,bumiah
tebing,təbiŋ
dikatakannya,dikatakanɲa
kecimpung,kətʃimpuŋ
tersayang,tərsajaŋ
sekrap,səʔrap
keranji,kərandʒi
konsulat,konsulat
kelorak,kəloraʔ
mujtahid,mudʒtahid
kerikam,kərikam
wafat,wafat
lakon,lakon
membetot,məmbətot
sanggan,saŋgan
melabuai,məlabuai
kepetangan,kəpətaŋan
perasa,pərasa
daeng,daeŋ
saliran,saliran
menyita,məɲita
dodol,dodol
berbini,bərbini
membangkang,məmbaŋkaŋ
menegur,mənəgur
senasib,sənasib
bawab,bawab
terusir,tərusir
seudati,səudati
merikan,mərikan
teratai,təratai
jagad,dʒagad
asali,asali
kodak,kodaʔ
brigade,brigadə
junjungan,dʒundʒuŋan
jiran,dʒiran
meskipun,məskipun
julai,dʒulai
dulang,dulaŋ
gerbong,gərboŋ
mempercantik,məmpərtʃantiʔ
teratas,təratas
masin,masin
selter,seltər
berpantang,bərpantaŋ
pemborongan,pəmboroŋan
dibawa,dibawa
bombardir,bombardir
ketuat,kətuat
indera,indəra
mengepilkan,məŋəpilkan
kelinting,kəlintiŋ
pemfitnah,pəmfitnah
kesambi,kəsambi
mengidentifikasi,məŋidentifikasi
hutang,hutaŋ
berdurasi,bərdurasi
delan,dəlan
terhebat,tərhebat
terendah,tərəndah
jejari,dʒədʒari
penyusup,pəɲusup
perusuh,pərusuh
bumbung,bumbuŋ
retas,rətas
beranjangsana,bərandʒaŋsana
berarah,bərarah
kias,kias
komunis,komunis
ditukik,ditukiʔ
cekakak,tʃəkakaʔ
cukai,tʃukai
menyelendangi,məɲəlendaŋi
mengemut,məŋəmut
terpaan,tərpaʔan
kedatangan,kədataŋan
pemerasan,pəmərasan
kaki,kaki
jelir,dʒəlir
belaian,bəlaian
pengencingan,pəŋəntʃiŋan
pengembalian,pəŋəmbalian
tekad,tekad
asfal,asfal
subahat,subahat
bubu,bubu
penerus,pənərus
dirampok,dirampoʔ
menjual,məndʒual
cacau,tʃatʃau
laris,laris
sepertegak,səpərtəgaʔ
kemelut,kəməlut
paket,paket
pendampingan,pəndampiŋan
peluang,pəluaŋ
balsam,balsam
gertak,gərtaʔ
canda,tʃanda
cuang,tʃuaŋ
utangnya,utaŋɲa
perserikatan,pərsərikatan
meringkik,məriŋkiʔ
mengenai,məŋənai
pemotong,pəmotoŋ
cambah,tʃambah
ditarik,ditariʔ
terjungkit,tərdʒuŋkit
swasta,swasta
listrik,listriʔ
manual,manual
mazmur,mazmur
kekerabatan,kəkərabatan
delikan,dəlikan
lintas,lintas
anter,antər
menyendirikan,məɲəndirikan
terjang,tərdʒaŋ
sengkilit,səŋkilit
kelimun,kəlimun
dewangga,dewaŋga
sosialis,sosialis
sosok,sosoʔ
mencerabih,məntʃərabih
menuruti,mənuruti
melontarkan,məlontarkan
italik,italiʔ
sinaran,sinaran
merik,məriʔ
kumuh,kumuh
tersekap,tərsəkap
pemanas,pəmanas
mengenang,məŋənaŋ
pengesan,pəŋesan
contohnya,tʃontohɲa
berdaerah,bərdaerah
membuncitkan,məmbuntʃitkan
terbendung,tərbənduŋ
didik,didiʔ
berbau,bərbau
kecondongan,kətʃondoŋan
terserat,tərsərat
kercit,kərtʃit
tenor,tenor
bercadang,bərtʃadaŋ
bias,bias
buset,buset
semberip,səmbərip
disalib,disalib
patok,patoʔ
membangkar,məmbaŋkar
kampus,kampus
ekstraksi,eʔstraʔsi
iman,iman
pajangan,padʒaŋan
memantak,məmantaʔ
mengejawantahkan,məŋedʒawantahkan
senta,sənta
birit,birit
marmar,marmar
nilam,nilam
berkhayal,bərʔhajal
menceroboh,məntʃəroboh
mengepalakan,məŋəpalakan
ternilai,tərnilai
kecah,kətʃah
mencomot,məntʃomot
kontroversial,kontroversial
wadah,wadah
dahi,dahi
menggantung,məŋgantuŋ
berbuai,bərbuai
batas,batas
losion,losion
kikuk,kikuʔ
sarasehan,sarasehan
mejeng,medʒeŋ
dadi,dadi
kebatinan,kəbatinan
beraksi,bəraʔsi
persediaan,pərsədiaʔan
membicara,məmbitʃara
tabulator,tabulator
berjejak,bərdʒədʒaʔ
selekeh,səlekeh
memboncengkan,məmbontʃeŋkan
adiktif,adiʔtif
menikmati,məniʔmati
marhaen,marhaen
menghantarkan,məŋhantarkan
bangkok,baŋkoʔ
meluncurkan,məluntʃurkan
majikannya,madʒikanɲa
tersendorong,tərsəndoroŋ
takaran,takaran
arung,aruŋ
keselak,kəsəlaʔ
menggelimangi,məŋgəlimaŋi
girangnya,giraŋɲa
kanonik,kanoniʔ
berselingkuh,bərsəliŋkuh
mengecekkan,məŋetʃeʔkan
sekelip,səkəlip
karbohidrat,karbohidrat
dikotomi,dikotomi
bulevar,buləvar
mensyaratkan,mənsjaratkan
ekskresi,eʔsʔresi
rimbanya,rimbaɲa
superstar,supərstar
caladi,tʃaladi
berlindung,bərlinduŋ
kerotak,kərotaʔ
melecehkan,məletʃehkan
perantaraan,pərantaraʔan
puting,putiŋ
amburadul,amburadul
hairan,hairan
buron,buron
dempang,dəmpaŋ
prefek,prefeʔ
seteger,sətegər
truf,truf
petentengan,pətenteŋan
nyata,ɲata
dihadapi,dihadapi
buhulan,buhulan
pelancaran,pəlantʃaran
layangan,lajaŋan
memesumi,məməsumi
obral,obral
ganjaran,gandʒaran
afek,afeʔ
habuan,habuan
salut,salut
pembengkokan,pəmbeŋkokan
mengarang,məŋaraŋ
bersenam,bərsənam
lasak,lasaʔ
menari,mənari
mendangkalkan,məndaŋkalkan
pendongkol,pəndoŋkol
bule,bule
tabir,tabir
kematangan,kəmataŋan
belanjaan,bəlandʒaʔan
beruk,bəruʔ
laluan,laluan
berangan,bəraŋan
merek,merəʔ
panjat,pandʒat
selebriti,selebriti
cabe,tʃabe
sekeropok,səkəropoʔ
datin,datin
sinisme,sinismə
mencuplik,məntʃupliʔ
widuri,widuri
kegigihan,kəgigihan
serdam,sərdam
periodik,periodiʔ
tatacara,tatatʃara
ringkas,riŋkas
tagak,tagaʔ
pewaris,pəwaris
tuang,tuaŋ
terbahana,tərbahana
komik,komiʔ
hitung,hituŋ
cempreng,tʃəmpreŋ
mustahak,mustahaʔ
ketumbi,kətumbi
patah,patah
menjelaskan,məndʒəlaskan
rabung,rabuŋ
karbon,karbon
julang,dʒulaŋ
keaslian,kəaslian
berpindah,bərpindah
penganak,pəŋanaʔ
keramboja,kərambodʒa
serban,sərban
berkemu,bərkəmu
antibiotik,antibiotiʔ
carak,tʃaraʔ
penghulu,pəŋhulu
sebu,səbu
ganti,ganti
daya,daja
meronda,məronda
suplai,suplai
mengasramakan,məŋasramakan
menurun,mənurun
anjar,andʒar
masyarakat,masjarakat
peradaban,pəradaban
temenung,təmənuŋ
dilemparkannya,dilemparkanɲa
paraf,paraf
pembunuhan,pəmbunuhan
astaga,astaga
kesampaian,kəsampaian
gandrung,gandruŋ
kontinuitas,kontinuitas
kiper,kipər
tambalan,tambalan
turun,turun
terpadamkan,tərpadamkan
arakian,arakian
berdaftar,bərdaftar
keagamaan,kəagamaʔan
keagungan,kəaguŋan
monarki,monarki
ala,ala
keseberangan,kəsəbəraŋan
senario,senario
pengantaraan,pəŋantaraʔan
pendurhakaan,pəndurhakaʔan
termonuklir,termonuʔlir
lingkungannya,liŋkuŋanɲa
culiah,tʃuliah
kenal,kənal
terburai,tərburai
perirana,pərirana
tudungnya,tuduŋɲa
tampung,tampuŋ
sehubungan,səhubuŋan
sekamar,səkamar
memikir,məmikir
imbasan,imbasan
garau,garau
merajut,məradʒut
peran,pəran
rahman,rahman
terak,təraʔ
pujaan,pudʒaʔan
kerakyatan,kəraʔjatan
lembur,ləmbur
irasional,irasional
adikmu,adiʔmu
pulih,pulih
dingkit,diŋkit
kemunduran,kəmunduran
bahadur,bahadur
artikulasi,artikulasi
debit,debit
belang,bəlaŋ
cabuk,tʃabuʔ
mendedes,məndedes
mempertunangkan,məmpərtunaŋkan
mayapada,majapada
racik,ratʃiʔ
benderang,bəndəraŋ
mencokolkan,məntʃokolkan
memesukkan,məməsuʔkan
congkah,tʃoŋkah
kenyang,kəɲaŋ
memeremkan,məmərəmkan
bengker,beŋker
pencalang,pəntʃalaŋ
pemercontohan,pəmərtʃontohan
terburuk,tərburuʔ
metromini,metromini
bernubuat,bərnubuat
jumaah,dʒumaʔah
dom,dom
asosiatif,asosiatif
deresi,deresi
doncang,dontʃaŋ
ceronggah,tʃəroŋgah
penganggur,pəŋaŋgur
berhitung,bərhituŋ
berbedak,bərbədaʔ
kemajuan,kəmadʒuan
enyah,əɲah
eksodus,eʔsodus
perdagangan,pərdagaŋan
juang,dʒuaŋ
sensualisme,sensualismə
objek,obdʒeʔ
memenuhkan,məmənuhkan
menyeligi,məɲəligi
efektif,efeʔtif
berpolitik,bərpolitiʔ
risiko,risiko
jurang,dʒuraŋ
santo,santo
menanyakan,mənaɲakan
pengagungan,pəŋaguŋan
keladi,kəladi
memutar,məmutar
agam,agam
algojo,algodʒo
dikunjungi,dikundʒuŋi
mendenting,məndəntiŋ
menyekutukan,məɲəkutukan
dedara,dədara
pahat,pahat
katung,katuŋ
beluru,bəluru
cundang,tʃundaŋ
diperingatkan,dipəriŋatkan
pong,poŋ
